Batch,CURRENT,PRES_DISCHARGE,FREQUENCY,PRES_INTAKE,TEMP_INTAKE,TEMP_MOTOR_PUMP,VIBRATION,Failure
233,20.23,64.62386062,57.66593256,77.61272097,123.430431,217.3002666,0.590106028,0
234,20.03,74.66651253,63.69987002,76.93897588,146.8647277,216.9953012,0.698719405,0
235,20.04,76.70946148,59.2054902,68.03952427,77.16929643,237.742092,0.698550598,0
236,19.94,73.40149758,55.82669505,72.05310142,111.9801511,253.753808,0.704181201,0
237,20.08,102.7797088,57.66803849,69.85484336,111.8945927,233.9336699,0.698655567,0
238,19.78,90.2496559,57.19545441,70.88376107,118.8847443,249.7558901,0.700474982,0
239,19.74,93.76097975,57.15050084,65.17390274,135.5417601,252.416513,0.702802143,0
240,19.76,69.38377896,61.2807073,64.81675255,193.1091094,212.4495501,0.692469552,0
241,19.92,76.36797281,63.54744427,85.42823529,165.6646696,267.6421654,0.660447836,0
242,20.45,61.63854789,59.50484903,62.78131058,141.1468443,239.146987,0.658780038,0
243,20.32,68.54298895,58.05252622,61.77323403,145.3716551,262.6417398,0.646271556,0
244,21.12,65.67103267,63.91481571,87.59255632,117.1318342,198.9060859,0.690664405,0
245,19.6,74.07026553,59.2054902,83.69752454,118.1407424,201.3981857,0.668874603,0
246,19.6,68.25864357,60.90774229,80.53286211,116.6109291,198.2349393,0.678237679,0
247,19.59,52.89145708,58.78466374,83.75463271,123.3937348,198.7443774,0.672870053,0
248,19.71,56.95136936,61.21955412,84.69617909,99.82725162,199.3369186,0.679627509,0
249,20.91,76.99457607,67.58781971,85.29564196,129.8885043,189.4457581,0.676822577,0
250,19.33,49.7570118,59.2054902,84.55266926,132.3425235,205.6644654,0.675896909,0
251,19.28,108.1934012,60.93708173,79.43798129,118.671158,202.3535028,0.671884163,0
252,20.43,129.2401283,55.09743769,81.56470256,135.665226,209.9731575,0.667541254,0
253,19.27,120.7001679,59.2054902,79.65086054,142.4554018,220.2950945,0.72549195,0
254,18.68,120.1646447,58.3183785,67.53242669,134.1969802,224.617471,0.796694116,0
255,19.23,116.9139705,58.99996161,67.78992655,135.5117883,221.1920156,0.742169943,0
256,19.21,113.2695893,58.95818692,69.68925258,118.3441333,224.6879596,0.734873324,0
257,19.11,108.0997645,57.18820966,66.27382617,169.2337365,226.56845,0.736863312,0
258,19,107.5340745,59.7409868,65.46831308,158.5211679,224.2005951,0.731643678,0
259,18.94,99.62895004,57.88554589,62.44935152,149.3748656,228.3146125,0.672956329,0
260,18.95,89.82266955,59.24020186,85.42823529,129.5302217,233.1227647,0.694373282,0
261,19.42,76.11221677,62.00100087,78.1984614,136.9304014,234.1874675,0.710776086,0
262,19.71,78.59552145,61.56058115,82.30456592,130.8748194,226.5828683,0.706539703,1
263,23.66143177,72.82171931,31.60399719,81.43617912,88.8272046,231.4835306,0.695553612,1
264,18.48156863,68.76021069,62.2054902,80.67470115,100.9665861,231.5059471,0.681414435,1
265,27.51858876,68.87564302,66.94253212,85.42823529,91.27530452,229.1631199,0.672385756,1
266,26.92605467,70.6106342,63.08227592,78.0648328,125.6600588,226.4262265,0.648773252,1
267,27.89767479,73.2167451,64.22836153,78.5105772,101.9833083,223.628104,0.640116588,1
268,26.37918649,72.6164622,61.59647583,81.5912097,139.5343915,232.5609583,0.60040712,1
269,26.83539086,79.1264351,68.45923544,78.94693679,107.157921,225.9592058,0.622480913,1
270,24.39781978,73.2167451,65.9892551,77.57360779,185.9565379,236.4336984,0.644554705,1
271,23.21282078,75.2167451,65.68850994,71.52202291,171.0732657,247.9311299,0.63551865,1
272,26.18247899,86.07092872,61.2054902,70.17977108,123.629613,224.6844583,0.671224375,1
